Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
164,VCC-NET,VCC-B,44431,2019-12-27 14:19:21.974,2019-12-27 14:29:13.764,591.79,13.164
165,VCC-NET,VCC-C,44430,2019-12-27 15:09:06.482,2019-12-27 15:19:59.892,653.41,25.484
166,VCC-NET,VCC-A,44428,2019-12-27 15:52:52.733,2019-12-27 16:04:17.356,684.623,63.399
167,VCC-NET,VCC-B,44431,2019-12-27 15:55:35.180,2019-12-27 16:07:00.548,685.368,68.003
168,VCC-NET,VCC-C,44430,2019-12-27 16:45:23.629,2019-12-27 16:56:27.143,663.514,44.632
169,VCC-NET,VCC-A,44428,2019-12-27 17:29:41.090,2019-12-27 17:39:18.863,577.773,15.573
170,VCC-NET,VCC-B,44431,2019-12-27 17:32:26.258,2019-12-27 17:41:31.744,545.486,14.612
171,VCC-NET,VCC-C,44430,2019-12-28 07:47:40.166,2019-12-28 07:57:26.219,586.053,22.537
172,VCC-NET,VCC-A,44428,2019-12-28 08:31:11.660,2019-12-28 08:42:21.453,669.793,71.696
173,VCC-NET,VCC-B,44431,2019-12-28 08:33:52.888,2019-12-28 08:45:04.297,671.409,77.121
174,VCC-NET,VCC-C,44430,2019-12-28 09:23:08.080,2019-12-28 09:34:17.106,669.026,46.682
175,VCC-NET,VCC-A,44428,2019-12-28 10:08:02.598,2019-12-28 10:18:35.460,632.862,20.866
176,VCC-NET,VCC-B,44431,2019-12-28 10:10:48.012,2019-12-28 10:21:17.711,629.699,20.088
177,VCC-NET,VCC-C,44430,2019-12-28 11:01:06.798,2019-12-28 11:10:25.740,558.942,11.174
178,VCC-NET,VCC-B,44431,2019-12-28 13:27:10.189,2019-12-28 13:35:53.008,522.819,10.041
179,VCC-NET,VCC-C,44430,2019-12-28 14:16:17.200,2019-12-28 14:26:36.095,618.895,16.84
180,VCC-NET,VCC-A,44428,2019-12-28 15:00:43.146,2019-12-28 15:11:51.095,667.949,32.48
181,VCC-NET,VCC-B,44431,2019-12-28 15:03:25.394,2019-12-28 15:14:35.451,670.057,34.241
182,VCC-NET,VCC-C,44430,2019-12-28 15:52:27.200,2019-12-28 16:03:50.630,683.43,81.54
183,VCC-NET,VCC-A,44428,2019-12-28 16:37:09.526,2019-12-28 16:47:55.410,645.884,31.046
184,VCC-NET,VCC-B,44431,2019-12-28 16:39:53.265,2019-12-28 16:50:34.599,641.334,29.062
185,VCC-NET,VCC-C,44430,2019-12-29 06:55:43.162,2019-12-29 07:04:24.846,521.684,10.952
186,VCC-NET,VCC-A,44428,2019-12-29 07:39:24.830,2019-12-29 07:49:44.742,619.912,32.202
187,VCC-NET,VCC-B,44431,2019-12-29 07:42:04.112,2019-12-29 07:52:28.748,624.636,34.47
188,VCC-NET,VCC-C,44430,2019-12-29 08:30:09.670,2019-12-29 08:41:26.477,676.807,88.785
189,VCC-NET,VCC-A,44428,2019-12-29 09:15:24.963,2019-12-29 09:26:26.027,661.064,34.252
190,VCC-NET,VCC-B,44431,2019-12-29 09:18:09.327,2019-12-29 09:29:08.137,658.81,32.51
191,VCC-NET,VCC-C,44430,2019-12-29 10:07:33.308,2019-12-29 10:17:34.658,601.35,15.238
192,VCC-NET,VCC-C,44430,2019-12-29 13:23:28.492,2019-12-29 13:33:02.777,574.285,12.098
193,VCC-NET,VCC-A,44428,2019-12-29 14:08:33.235,2019-12-29 14:19:11.934,638.699,20.477
194,VCC-NET,VCC-B,44431,2019-12-29 14:11:15.488,2019-12-29 14:21:57.239,641.751,21.254
195,VCC-NET,VCC-C,44430,2019-12-29 14:59:34.926,2019-12-29 15:10:55.676,680.75,55.612
196,VCC-NET,VCC-A,44428,2019-12-29 15:44:48.398,2019-12-29 15:56:06.956,678.558,68.322
197,VCC-NET,VCC-B,44431,2019-12-29 15:47:31.288,2019-12-29 15:58:47.991,676.703,63.379
198,VCC-NET,VCC-C,44430,2019-12-29 16:36:15.746,2019-12-29 16:46:06.202,590.456,17.416
199,VCC-NET,VCC-A,44428,2019-12-30 06:48:00.311,2019-12-30 06:57:05.435,545.124,16.02
200,VCC-NET,VCC-B,44431,2019-12-30 06:50:38.594,2019-12-30 06:59:51.002,552.408,17.061
201,VCC-NET,VCC-C,44430,2019-12-30 07:37:26.723,2019-12-30 07:48:30.636,663.913,61.307
202,VCC-NET,VCC-A,44428,2019-12-30 08:22:58.703,2019-12-30 08:34:15.486,676.783,67.463
203,VCC-NET,VCC-B,44431,2019-12-30 08:25:41.790,2019-12-30 08:36:57.658,675.868,62.942
204,VCC-NET,VCC-C,44430,2019-12-30 09:14:05.969,2019-12-30 09:24:43.076,637.107,22.592
205,VCC-NET,VCC-A,44428,2019-12-30 10:00:44.065,2019-12-30 10:10:23.888,579.823,12.967
206,VCC-NET,VCC-B,44431,2019-12-30 10:03:30.246,2019-12-30 10:13:06.465,576.219,12.612
207,VCC-NET,VCC-A,44428,2019-12-30 13:16:20.656,2019-12-30 13:26:22.390,601.734,14.283
208,VCC-NET,VCC-B,44431,2019-12-30 13:19:03.135,2019-12-30 13:29:08.379,605.244,14.716
209,VCC-NET,VCC-C,44430,2019-12-30 14:06:44.042,2019-12-30 14:17:45.016,660.974,29.208
210,VCC-NET,VCC-A,44428,2019-12-30 14:52:33.096,2019-12-30 15:03:59.378,686.282,82.839
211,VCC-NET,VCC-B,44431,2019-12-30 14:55:15.458,2019-12-30 15:06:41.874,686.416,88.405
212,VCC-NET,VCC-C,44430,2019-12-30 15:43:04.602,2019-12-30 15:53:57.081,652.479,35.725
213,VCC-NET,VCC-A,44428,2019-12-30 16:29:32.757,2019-12-30 16:38:25.745,532.988,12.096
214,VCC-NET,VCC-B,44431,2019-12-30 16:32:18.478,2019-12-30 16:41:02.651,524.173,11.299
215,VCC-NET,VCC-C,44430,2019-12-31 06:45:03.112,2019-12-31 06:55:08.854,605.742,27.515
216,VCC-NET,VCC-A,44428,2019-12-31 07:30:46.139,2019-12-31 07:42:01.540,675.401,86.723
217,VCC-NET,VCC-B,44431,2019-12-31 07:33:27.729,2019-12-31 07:44:43.986,676.257,81.184
218,VCC-NET,VCC-C,44430,2019-12-31 08:20:48.152,2019-12-31 08:31:52.020,663.868,38.776
219,VCC-NET,VCC-A,44428,2019-12-31 09:07:52.727,2019-12-31 09:18:13.466,620.739,18.163
220,VCC-NET,VCC-B,44431,2019-12-31 09:10:38.220,2019-12-31 09:20:55.578,617.358,17.551
221,VCC-NET,VCC-C,44430,2019-12-31 09:59:16.996,2019-12-31 10:08:02.891,525.895,10.377
222,VCC-NET,VCC-A,44428,2019-12-31 12:24:08.105,2019-12-31 12:32:59.192,531.087,10.694
223,VCC-NET,VCC-B,44431,2019-12-31 12:26:50.971,2019-12-31 12:35:45.073,534.102,10.948
224,VCC-NET,VCC-C,44430,2019-12-31 13:13:52.115,2019-12-31 13:24:21.025,628.91,18.694
