Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
117,VCC-NET,VCC-B,44431,2019-12-24 10:26:11.576,2019-12-24 10:37:47.682,696.106,82.71
118,VCC-NET,VCC-C,44430,2019-12-24 11:18:23.889,2019-12-24 11:29:35.863,671.974,30.017
119,VCC-NET,VCC-A,44428,2019-12-24 12:00:47.995,2019-12-24 12:11:21.386,633.391,16.377
120,VCC-NET,VCC-B,44431,2019-12-24 12:03:34.093,2019-12-24 12:14:03.378,629.285,15.859
121,VCC-NET,VCC-A,44428,2019-12-24 15:16:55.347,2019-12-24 15:26:24.916,569.569,12.744
122,VCC-NET,VCC-B,44431,2019-12-24 15:19:38.445,2019-12-24 15:29:11.612,573.167,13.111
123,VCC-NET,VCC-C,44430,2019-12-24 16:11:19.355,2019-12-24 16:22:04.224,644.869,26.487
124,VCC-NET,VCC-A,44428,2019-12-24 16:53:06.028,2019-12-24 17:04:26.826,680.798,62.157
125,VCC-NET,VCC-B,44431,2019-12-24 16:55:48.532,2019-12-24 17:07:10.638,682.106,66.484
126,VCC-NET,VCC-C,44430,2019-12-24 17:47:33.798,2019-12-24 17:58:35.587,661.789,56.619
127,VCC-NET,VCC-A,44428,2019-12-24 18:29:45.138,2019-12-24 18:39:36.502,591.364,19.908
128,VCC-NET,VCC-B,44431,2019-12-24 18:32:29.853,2019-12-24 18:42:12.732,582.879,18.706
129,VCC-NET,VCC-C,44430,2019-12-25 08:50:10.408,2019-12-25 09:00:09.263,598.855,18.466
130,VCC-NET,VCC-A,44428,2019-12-25 09:31:32.867,2019-12-25 09:42:52.594,679.727,53.341
131,VCC-NET,VCC-B,44431,2019-12-25 09:34:13.623,2019-12-25 09:45:34.822,681.199,57.566
132,VCC-NET,VCC-C,44430,2019-12-25 10:25:19.496,2019-12-25 10:36:49.416,689.92,57.422
133,VCC-NET,VCC-A,44428,2019-12-25 11:08:06.877,2019-12-25 11:19:12.763,665.886,24.528
134,VCC-NET,VCC-B,44431,2019-12-25 11:10:52.112,2019-12-25 11:21:54.214,662.102,23.493
135,VCC-NET,VCC-C,44430,2019-12-25 12:03:09.470,2019-12-25 12:13:05.094,595.624,12.12
136,VCC-NET,VCC-C,44430,2019-12-25 15:18:32.495,2019-12-25 15:28:40.802,608.307,17.279
137,VCC-NET,VCC-A,44428,2019-12-25 16:00:59.010,2019-12-25 16:11:58.122,659.112,32.835
138,VCC-NET,VCC-B,44431,2019-12-25 16:03:41.402,2019-12-25 16:14:43.049,661.647,34.53
139,VCC-NET,VCC-C,44430,2019-12-25 16:54:42.270,2019-12-25 17:06:07.379,685.109,89.041
140,VCC-NET,VCC-A,44428,2019-12-25 17:37:20.488,2019-12-25 17:48:12.295,651.807,40.608
141,VCC-NET,VCC-B,44431,2019-12-25 17:40:04.055,2019-12-25 17:50:50.779,646.724,37.837
142,VCC-NET,VCC-C,44430,2019-12-25 18:31:47.460,2019-12-25 18:40:18.464,511.004,10.303
143,VCC-NET,VCC-A,44428,2019-12-26 08:39:56.040,2019-12-26 08:50:31.386,635.346,24.946
144,VCC-NET,VCC-B,44431,2019-12-26 08:42:34.663,2019-12-26 08:53:14.157,639.494,26.602
145,VCC-NET,VCC-C,44430,2019-12-26 09:32:28.573,2019-12-26 09:44:00.012,691.439,80.767
146,VCC-NET,VCC-A,44428,2019-12-26 10:15:35.511,2019-12-26 10:27:04.921,689.41,42.594
147,VCC-NET,VCC-B,44431,2019-12-26 10:18:19.636,2019-12-26 10:29:46.022,686.386,40.155
148,VCC-NET,VCC-C,44430,2019-12-26 11:09:40.800,2019-12-26 11:20:12.790,631.99,16.854
149,VCC-NET,VCC-A,44428,2019-12-26 11:53:41.000,2019-12-26 12:02:56.724,555.724,10.833
150,VCC-NET,VCC-B,44431,2019-12-26 11:56:50.198,2019-12-26 12:05:39.879,529.681,10.581
151,VCC-NET,VCC-C,44430,2019-12-26 14:25:45.582,2019-12-26 14:35:08.943,563.361,12.273
152,VCC-NET,VCC-A,44428,2019-12-26 15:08:50.854,2019-12-26 15:19:17.396,626.542,20.587
153,VCC-NET,VCC-B,44431,2019-12-26 15:11:33.353,2019-12-26 15:22:03.199,629.846,21.379
154,VCC-NET,VCC-C,44430,2019-12-26 16:01:54.030,2019-12-26 16:13:11.136,677.106,57.597
155,VCC-NET,VCC-A,44428,2019-12-26 16:45:04.289,2019-12-26 16:56:24.651,680.362,89.455
156,VCC-NET,VCC-B,44431,2019-12-26 16:47:47.154,2019-12-26 16:59:04.614,677.46,83.853
157,VCC-NET,VCC-C,44430,2019-12-26 17:38:28.069,2019-12-26 17:48:22.236,594.167,21.209
158,VCC-NET,VCC-A,44428,2019-12-27 07:48:37.219,2019-12-27 07:57:56.484,559.265,12.45
159,VCC-NET,VCC-B,44431,2019-12-27 07:51:14.820,2019-12-27 08:00:40.431,565.611,13.302
160,VCC-NET,VCC-C,44430,2019-12-27 08:39:53.937,2019-12-27 08:51:04.913,670.976,48.318
161,VCC-NET,VCC-A,44428,2019-12-27 09:23:16.311,2019-12-27 09:34:55.590,699.279,87.641
162,VCC-NET,VCC-B,44431,2019-12-27 09:25:59.108,2019-12-27 09:37:36.508,697.4,82.097
163,VCC-NET,VCC-C,44430,2019-12-27 10:16:19.300,2019-12-27 10:27:23.221,663.921,25.856
164,VCC-NET,VCC-A,44428,2019-12-27 11:00:49.047,2019-12-27 11:11:11.451,622.404,14.499
165,VCC-NET,VCC-B,44431,2019-12-27 11:03:35.238,2019-12-27 11:13:52.589,617.351,14.072
166,VCC-NET,VCC-A,44428,2019-12-27 14:16:39.151,2019-12-27 14:26:27.369,588.218,14.271
167,VCC-NET,VCC-B,44431,2019-12-27 14:19:21.974,2019-12-27 14:29:13.764,591.79,14.711
168,VCC-NET,VCC-C,44430,2019-12-27 15:09:06.482,2019-12-27 15:19:59.892,653.41,30.583
169,VCC-NET,VCC-A,44428,2019-12-27 15:52:52.733,2019-12-27 16:04:18.902,686.169,80.778
170,VCC-NET,VCC-B,44431,2019-12-27 15:55:35.180,2019-12-27 16:07:00.548,685.368,86.105
171,VCC-NET,VCC-C,44430,2019-12-27 16:45:23.629,2019-12-27 16:56:14.671,651.042,44.632
172,VCC-NET,VCC-A,44428,2019-12-27 17:29:41.090,2019-12-27 17:39:18.863,577.773,15.573
173,VCC-NET,VCC-B,44431,2019-12-27 17:32:26.258,2019-12-27 17:41:31.744,545.486,14.612
174,VCC-NET,VCC-C,44430,2019-12-28 07:47:40.166,2019-12-28 07:58:00.387,620.221,22.537
175,VCC-NET,VCC-A,44428,2019-12-28 08:31:11.660,2019-12-28 08:42:42.410,690.75,71.696
176,VCC-NET,VCC-B,44431,2019-12-28 08:33:52.888,2019-12-28 08:45:23.332,690.444,77.121
177,VCC-NET,VCC-C,44430,2019-12-28 09:23:08.080,2019-12-28 09:34:33.806,685.726,46.682
178,VCC-NET,VCC-A,44428,2019-12-28 10:08:02.598,2019-12-28 10:18:59.828,657.23,20.866
179,VCC-NET,VCC-B,44431,2019-12-28 10:10:48.012,2019-12-28 10:21:40.245,652.233,20.088
180,VCC-NET,VCC-C,44430,2019-12-28 11:01:06.798,2019-12-28 11:10:25.740,558.942,11.174
181,VCC-NET,VCC-A,44428,2019-12-28 13:25:06.199,2019-12-28 13:33:54.531,528.332,10.605
182,VCC-NET,VCC-B,44431,2019-12-28 13:27:10.189,2019-12-28 13:36:38.645,568.456,10.865
183,VCC-NET,VCC-C,44430,2019-12-28 14:16:17.200,2019-12-28 14:26:36.095,618.895,19.282
184,VCC-NET,VCC-A,44428,2019-12-28 15:00:43.146,2019-12-28 15:11:58.064,674.918,40.314
185,VCC-NET,VCC-B,44431,2019-12-28 15:03:25.394,2019-12-28 15:14:35.451,670.057,42.657
186,VCC-NET,VCC-C,44430,2019-12-28 15:52:27.200,2019-12-28 16:03:50.630,683.43,81.54
187,VCC-NET,VCC-A,44428,2019-12-28 16:37:09.526,2019-12-28 16:47:45.924,636.398,31.046
188,VCC-NET,VCC-B,44431,2019-12-28 16:39:53.265,2019-12-28 16:50:22.499,629.234,29.062
189,VCC-NET,VCC-C,44430,2019-12-29 06:55:43.162,2019-12-29 07:04:39.845,536.683,10.952
190,VCC-NET,VCC-A,44428,2019-12-29 07:39:24.830,2019-12-29 07:50:22.438,657.608,32.202
191,VCC-NET,VCC-B,44431,2019-12-29 07:42:04.112,2019-12-29 07:53:03.632,659.52,34.47
192,VCC-NET,VCC-C,44430,2019-12-29 08:30:09.670,2019-12-29 08:41:42.116,692.446,88.785
193,VCC-NET,VCC-A,44428,2019-12-29 09:15:24.963,2019-12-29 09:26:49.832,684.869,34.252
194,VCC-NET,VCC-B,44431,2019-12-29 09:18:09.327,2019-12-29 09:29:29.706,680.379,32.51
195,VCC-NET,VCC-C,44430,2019-12-29 10:07:33.308,2019-12-29 10:17:54.579,621.271,15.238
196,VCC-NET,VCC-C,44430,2019-12-29 13:23:28.492,2019-12-29 13:33:02.777,574.285,13.403
197,VCC-NET,VCC-A,44428,2019-12-29 14:08:33.235,2019-12-29 14:19:24.513,651.278,23.954
198,VCC-NET,VCC-B,44431,2019-12-29 14:11:15.488,2019-12-29 14:21:57.239,641.751,24.957
199,VCC-NET,VCC-C,44430,2019-12-29 14:59:34.926,2019-12-29 15:10:55.676,680.75,71.103
200,VCC-NET,VCC-A,44428,2019-12-29 15:44:48.398,2019-12-29 15:56:03.742,675.344,68.322
201,VCC-NET,VCC-B,44431,2019-12-29 15:47:31.288,2019-12-29 15:58:41.871,670.583,63.379
202,VCC-NET,VCC-C,44430,2019-12-29 16:36:15.746,2019-12-29 16:46:06.202,590.456,17.416
203,VCC-NET,VCC-A,44428,2019-12-30 06:48:00.311,2019-12-30 06:57:51.162,590.851,16.02
204,VCC-NET,VCC-B,44431,2019-12-30 06:50:38.594,2019-12-30 07:00:33.110,594.516,17.061
205,VCC-NET,VCC-C,44430,2019-12-30 07:37:26.723,2019-12-30 07:48:45.545,678.822,61.307
206,VCC-NET,VCC-A,44428,2019-12-30 08:22:58.703,2019-12-30 08:34:39.153,700.45,67.463
207,VCC-NET,VCC-B,44431,2019-12-30 08:25:41.790,2019-12-30 08:37:18.656,696.866,62.942
208,VCC-NET,VCC-C,44430,2019-12-30 09:14:05.969,2019-12-30 09:25:01.145,655.176,22.592
209,VCC-NET,VCC-A,44428,2019-12-30 10:00:44.065,2019-12-30 10:10:56.170,612.105,12.967
210,VCC-NET,VCC-B,44431,2019-12-30 10:03:30.246,2019-12-30 10:13:36.137,605.891,12.612
211,VCC-NET,VCC-C,44430,2019-12-30 12:31:02.264,2019-12-30 12:39:41.463,519.199,10.006
212,VCC-NET,VCC-A,44428,2019-12-30 13:16:20.656,2019-12-30 13:26:40.757,620.101,16.106
213,VCC-NET,VCC-B,44431,2019-12-30 13:19:03.135,2019-12-30 13:29:08.379,605.244,16.635
214,VCC-NET,VCC-C,44430,2019-12-30 14:06:44.042,2019-12-30 14:17:45.016,660.974,35.711
215,VCC-NET,VCC-A,44428,2019-12-30 14:52:33.096,2019-12-30 15:04:01.912,688.816,82.839
216,VCC-NET,VCC-B,44431,2019-12-30 14:55:15.458,2019-12-30 15:06:41.097,685.639,88.405
217,VCC-NET,VCC-C,44430,2019-12-30 15:43:04.602,2019-12-30 15:53:42.574,637.972,35.725
218,VCC-NET,VCC-A,44428,2019-12-30 16:29:32.757,2019-12-30 16:38:25.745,532.988,12.096
219,VCC-NET,VCC-B,44431,2019-12-30 16:32:18.478,2019-12-30 16:41:02.651,524.173,11.299
220,VCC-NET,VCC-C,44430,2019-12-31 06:45:03.112,2019-12-31 06:55:40.736,637.624,27.515
221,VCC-NET,VCC-A,44428,2019-12-31 07:30:46.139,2019-12-31 07:42:25.490,699.351,88.034
222,VCC-NET,VCC-B,44431,2019-12-31 07:33:27.729,2019-12-31 07:45:04.797,697.068,86.535
223,VCC-NET,VCC-C,44430,2019-12-31 08:20:48.152,2019-12-31 08:32:08.564,680.412,38.776
224,VCC-NET,VCC-A,44428,2019-12-31 09:07:52.727,2019-12-31 09:18:41.238,648.511,18.163
225,VCC-NET,VCC-B,44431,2019-12-31 09:10:38.220,2019-12-31 09:21:20.287,642.067,17.551
226,VCC-NET,VCC-C,44430,2019-12-31 09:59:16.996,2019-12-31 10:08:02.891,525.895,10.377
227,VCC-NET,VCC-A,44428,2019-12-31 12:24:08.105,2019-12-31 12:33:49.925,581.82,11.683
228,VCC-NET,VCC-B,44431,2019-12-31 12:26:50.971,2019-12-31 12:36:32.473,581.502,11.992
229,VCC-NET,VCC-C,44430,2019-12-31 13:13:52.115,2019-12-31 13:24:21.025,628.91,21.633
230,VCC-NET,VCC-A,44428,2019-12-31 14:00:20.650,2019-12-31 14:11:44.001,683.351,50.728
231,VCC-NET,VCC-B,44431,2019-12-31 14:03:02.718,2019-12-31 14:14:23.947,681.229,54.012
232,VCC-NET,VCC-C,44430,2019-12-31 14:50:02.999,2019-12-31 15:01:23.044,680.045,81.097
233,VCC-NET,VCC-A,44428,2019-12-31 15:36:53.212,2019-12-31 15:47:10.492,617.28,24.175
234,VCC-NET,VCC-B,44431,2019-12-31 15:39:37.140,2019-12-31 15:49:44.713,607.573,22.696
235,VCC-NET,VCC-C,44430,2020-01-01 05:52:59.766,2020-01-01 06:02:22.187,562.421,13.502
236,VCC-NET,VCC-A,44428,2020-01-01 06:38:50.101,2020-01-01 06:50:06.174,676.073,42.165
237,VCC-NET,VCC-B,44431,2020-01-01 06:41:29.879,2020-01-01 06:52:45.508,675.629,45.359
238,VCC-NET,VCC-C,44430,2020-01-01 07:27:42.519,2020-01-01 07:39:14.374,691.855,80.517
239,VCC-NET,VCC-A,44428,2020-01-01 08:15:09.163,2020-01-01 08:26:28.796,679.633,28.286
240,VCC-NET,VCC-B,44431,2020-01-01 08:17:53.669,2020-01-01 08:29:07.118,673.449,26.996
241,VCC-NET,VCC-C,44430,2020-01-01 09:05:16.646,2020-01-01 09:15:27.161,610.515,13.882
242,VCC-NET,VCC-C,44430,2020-01-01 12:20:56.558,2020-01-01 12:30:46.549,589.991,14.692
243,VCC-NET,VCC-A,44428,2020-01-01 13:08:08.681,2020-01-01 13:19:12.521,663.84,28.26
